distance_km,city_share_pct,avg_speed_city,avg_speed_hwy,ac_on,persons_in_car,tire_pressure_bar,outside_temp_c,fuel_used_l
421.2,77.1,38.0,116.3,0,5,2.25,37.3,45.05
523.4,74.8,35.8,125.3,0,2,2.25,27.2,51.83
132.0,90.3,34.3,88.4,0,1,1.8,-7.0,14.21
83.3,64.5,29.4,119.6,0,4,2.25,-8.1,8.52
649.4,21.8,47.6,92.0,1,4,2.25,4.2,61.27
589.0,56.5,36.9,110.6,0,1,1.8,14.8,55.72
469.5,93.7,35.2,110.0,0,4,2.0,23.8,51.15
368.4,19.8,18.4,90.3,0,1,2.25,8.2,30.42
624.0,87.2,40.3,123.7,1,1,2.2,0.4,68.03
148.3,49.2,18.1,105.0,1,4,2.2,-9.7,15.18
54.6,85.4,47.8,98.2,0,2,2.0,21.5,5.33
60.3,85.8,42.0,127.2,0,2,2.2,34.6,6.21
191.0,65.3,20.5,111.3,1,3,2.25,-2.0,20.25
76.1,51.5,41.3,119.9,0,4,1.8,25.4,7.61
125.9,84.5,49.4,92.4,1,2,1.8,18.2,14.15
33.5,43.1,40.1,127.0,1,4,2.25,12.7,3.41
18.6,36.1,37.7,104.1,0,5,2.0,39.4,1.74
276.9,60.2,26.0,88.0,1,3,2.2,14.4,28.44
31.2,62.2,21.9,118.4,1,4,2.25,-3.9,3.3
622.5,87.7,34.0,124.8,1,1,2.2,21.7,65.97
44.9,21.0,30.1,87.3,1,3,2.0,26.6,3.93
385.5,63.3,29.4,93.6,0,2,1.8,4.1,39.28
655.5,48.8,35.1,110.9,0,2,2.25,26.2,60.59
495.5,29.0,41.1,118.3,1,4,2.25,34.3,46.86
239.5,60.5,43.6,99.3,0,1,2.25,7.9,22.32
369.9,68.7,24.5,115.0,1,2,2.2,39.2,37.72
531.6,27.3,19.2,119.1,1,4,2.0,15.7,49.98
232.9,60.5,49.1,120.5,1,3,2.2,39.7,23.87
392.5,79.2,32.3,123.3,0,3,2.2,29.5,40.36
221.9,12.3,23.5,108.5,1,2,2.25,11.5,19.17
607.6,61.0,31.6,121.4,1,4,2.25,12.3,63.4
200.1,89.3,48.8,92.5,0,3,1.8,35.1,21.69
216.3,24.2,49.5,86.8,0,2,2.2,36.6,18.8
613.4,18.6,39.4,114.4,1,5,2.2,15.5,57.04
34.2,40.0,40.1,104.5,1,2,1.8,5.0,3.07
282.0,10.2,42.6,129.0,1,3,1.8,18.6,25.36
633.7,41.3,20.1,114.8,1,5,2.2,14.8,63.56
498.9,30.6,18.8,108.2,1,2,1.8,31.8,46.69
600.9,79.9,34.7,99.0,0,3,1.8,-8.3,65.55
377.6,86.2,40.7,86.4,0,4,2.2,11.5,40.55
344.1,80.0,27.5,123.2,1,4,1.8,5.1,39.29
299.9,7.0,46.5,124.1,0,5,2.2,-9.9,26.22
345.2,17.5,46.8,128.3,0,2,2.0,35.6,29.22
88.3,97.0,18.4,117.5,0,2,2.25,12.1,9.42
376.5,62.8,44.6,128.5,1,5,2.25,19.0,40.15
527.0,49.5,24.7,129.7,0,5,1.8,31.1,53.47
645.8,31.3,29.2,129.0,1,4,2.0,15.4,61.47
467.7,12.7,36.0,113.1,1,3,2.0,19.3,40.74
699.4,12.4,46.0,85.4,1,5,2.0,3.2,64.97
281.9,73.4,44.5,126.5,0,4,2.2,17.1,28.9
40.6,45.1,24.3,110.9,1,1,2.2,20.1,3.65
207.4,81.3,35.7,86.9,0,5,1.8,5.0,23.1
417.5,54.2,30.5,102.5,1,4,2.2,0.7,44.33
340.6,22.9,22.3,119.2,0,1,1.8,27.6,29.39
242.1,36.4,46.3,88.7,1,2,2.0,12.9,22.34
459.2,73.0,22.2,100.6,1,3,2.0,6.9,48.76
